"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","regression","regression","model","model","data"
"2","data","analysis","between","regression","model"
"3","test","sample","time","test","sample"
"4","between","multiple","distribution","variables","probability"
"5","variables","model","models","data","distribution"
"6","distribution","function","variables","linear","variable"
"7","one","variable","two","distribution","regression"
"8","random","distribution","random","correlation","linear"
"9","time","series","statistical","variable","learning"
"10","comparing","data","logistic","time","two"
"11","model","linear","different","two","value"
"12","probability","variables","regression","values","different"
"13","mean","random","mean","anova","analysis"
"14","values","error","error","between","variance"
"15","linear","difference","value","this","design"
"16","multiple","two","variance","samples","series"
"17","confidence","question","calculate","random","correlation"
"18","bayesian","distributions","testing","models","logistic"
"19","difference","standard","test","variance","time"
"20","multivariate","estimate","analysis","number","coefficients"
"21","two","size","effect","significance","training"
"22","variable","factor","number","matrix","sampling"
"23","based","correlation","one","statistical","confidence"
"24","analysis","logistic","function","logistic","algorithm"
"25","classification","models","data","network","binary"
"26","effect","find","anova","difference","set"
"27","set","errors","variable","effect","normal"
"28","finding","measure","measures","series","calculate"
"29","categorical","groups","fit","results","find"
"30","matrix","conditional","learning","clustering","interval"
"31","calculate","testing","continuous","dependent","results"
"32","gaussian","matrix","standard","categorical","standard"
"33","error","values","svm","coefficient","matrix"
"34","series","estimation","covariance","dataset","prediction"
"35","fitting","clustering","probability","cluster","fit"
"36","prior","compare","best","different","same"
"37","likelihood","plot","distributions","size","neural"
"38","repeated","this","independent","way","function"
"39","significant","confidence","process","standard","single"
"40","spss","coefficients","size","mean","mean"
"41","size","independent","likelihood","mixed","statistics"
"42","determine","probability","normal","normal","machine"
"43","effects","binary","method","effects","method"
"44","normal","arima","factor","poisson","pca"
"45","measures","statistics","output","prediction","binomial"
"46","over","order","mixed","package","significance"
"47","logistic","dependent","pca","tests","process"
"48","statistical","different","neural","fixed","feature"
"49","hypothesis","interpretation","multiple","large","population"
"50","variance","used","interval","classification","error"
"51","continuous","significant","comparison","algorithm","intervals"
"52","network","test","hypothesis","function","ratio"
"53","interpreting","mean","least","compare","gaussian"
"54","methods","selection","effects","calculating","this"
"55","sum","interpreting","square","multiple","multiple"
"56","coefficients","estimator","determine","sampling","compare"
"57","independent","binomial","expected","estimating","ttest"
"58","covariance","same","conditional","selection","density"
"59","forecasting","statistic","parameters","after","mixed"
"60","validation","term","significant","interval","many"
